id,likes,shares,comments,views
1244988553_10234894742609982,16,1,3,0
1701331328_10212547590640361,129,0,67,0
388269755048066_866889462126502,1,0,0,0
100032312057685_1151722085914849,8,2,63,0
116113891560776_330874676763900,3,0,3,0
103342439044955_469567629163590,1,0,0,0
1005965317_10229862204071697,34,0,12,0
590578412_10162179504473413,1,0,0,0
590578412_10162179504308413,1,0,0,0
590578412_10162179484653413,1,0,0,0
590578412_10162179484378413,1,0,0,0
100089402520941_464775639845850,1,0,0,0
100052281602746_1052294393189938,5,0,0,0
104783221047128_893469896133203,39,1,0,0
170781491718162_1050649070398062,50,57,128,0
61560360724568_122121232466345357,0,0,0,0
332371000492785_986463903175273,2,0,0,0
100299939227211_509236901672811,76,328,43,0
388269755048066_866176008864514,1,0,0,0
1125804114216204_3545860608877197,6,0,1,0
100032312057685_1151070625979995,2,2,91,0
100005027280210_2760984914079058,0,0,0,0
100052281602746_1051710679914976,5,1,0,0
100089402520941_464124719910942,1,0,0,0
104783221047128_892819849531541,33,0,0,0
100003535527602_7568552806605828,102,0,24,0
100054883741105_1003292808176835,10,0,17,0
572386779583161_463287886456336,33,0,1,0
225089409990974_426874103145836,27,2,0,0
100000809946953_7843825152321072,5,0,0,0
100035361751854_1198696747985706,4,0,0,0
100000606526363_8676876132342518,42,0,5,0
100000201954161_8623764857640160,26,0,14,0
337798624541242_1027543122233452,3,0,8,0
100005136910987_2729951220519415,21,2,6,0
100005136910987_2729947307186473,21,2,6,0
100032312057685_1150489326038125,7,0,67,0
587055226479007_1008198171031375,0,0,0,0
100064990925415_865179135658443,26,0,2,0
1488619561689946_1546790752539493,0,0,4,0
2023168317797126_885724933595866,12,2,1,0
100001456839167_7978026582255824,1,0,1,0
6697437473687164_7688469267917308,2,0,1,0
3049897285250653_3789988971241477,1,0,0,0
2562330377120325_8211460872207219,0,0,0,0
2300069060013852_8210058372348195,1,0,1,0
245779329840502_1138073897277703,1,0,1,0
2841498379444270_3735799390014160,1,0,1,0
100089402520941_463459273310820,0,0,0,0
104783221047128_892199552926904,32,0,0,0
184586842007051_1014776273991514,4,0,0,0
170781491718162_1049102507219385,34,46,132,0
100026508695728_1513389382888004,84,0,7,0
363697743831525_903127211859240,29,51,4,0
2023168317797126_885279676973725,4,0,0,0
388269755048066_865026768979438,1,0,0,0
1817830715089402_2663412177197914,1,0,6,0
